subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H101,1,0.25,0.4642857142857143,0.21428571428571427,human,take
H101,2,-0.03846153846153849,0.2692307692307692,0.3076923076923077,human,take
H101,3,0.0,0.32,0.32,human,take
H101,4,0.09090909090909091,0.3181818181818182,0.22727272727272727,human,take
H101,5,0.13636363636363635,0.3181818181818182,0.18181818181818182,human,take
H101,6,0.09523809523809523,0.2857142857142857,0.19047619047619047,human,take
H101,7,0.05000000000000002,0.225,0.175,human,take
H103,1,0.20833333333333334,0.375,0.16666666666666666,human,take
H103,2,0.16666666666666666,0.3333333333333333,0.16666666666666666,human,take
H103,3,0.17391304347826086,0.34782608695652173,0.17391304347826086,human,take
H103,4,0.0,0.2608695652173913,0.2608695652173913,human,take
H103,5,0.08695652173913046,0.30434782608695654,0.21739130434782608,human,take
H103,6,-0.04545454545454547,0.13636363636363635,0.18181818181818182,human,take
H103,7,0.11904761904761904,0.3333333333333333,0.21428571428571427,human,take
H104,1,0.20833333333333334,0.4166666666666667,0.20833333333333334,human,take
H104,2,0.07692307692307693,0.46153846153846156,0.38461538461538464,human,take
H104,3,0.14285714285714285,0.2857142857142857,0.14285714285714285,human,take
H104,4,0.6666666666666666,0.6666666666666666,0.0,human,take
H104,5,0.0,0.0,0.0,human,take
H104,6,0.5,0.5,0.0,human,take
H105,1,0.13333333333333333,0.26666666666666666,0.13333333333333333,human,take
H105,2,0.18181818181818182,0.36363636363636365,0.18181818181818182,human,take
H105,3,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,take
H105,4,0.39999999999999997,0.6,0.2,human,take
H105,5,0.6666666666666666,0.6666666666666666,0.0,human,take
H105,6,0.0,0.5,0.5,human,take
H106,1,0.04166666666666663,0.3333333333333333,0.2916666666666667,human,take
H106,2,-0.05882352941176472,0.29411764705882354,0.35294117647058826,human,take
H106,3,0.19999999999999998,0.3,0.1,human,take
H106,4,0.0,0.2857142857142857,0.2857142857142857,human,take
H106,5,-0.25,0.0,0.25,human,take
H106,6,-0.6666666666666666,0.0,0.6666666666666666,human,take
H106,7,-0.25,0.0,0.25,human,take
H108,1,0.0967741935483871,0.25806451612903225,0.16129032258064516,human,take
H108,2,0.06666666666666665,0.36666666666666664,0.3,human,take
H108,3,0.10714285714285715,0.35714285714285715,0.25,human,take
H108,4,0.11538461538461536,0.34615384615384615,0.23076923076923078,human,take
H108,5,-0.043478260869565216,0.21739130434782608,0.2608695652173913,human,take
H108,6,-0.2727272727272727,0.2727272727272727,0.5454545454545454,human,take
H108,7,-0.04999999999999999,0.2,0.25,human,take
H109,1,0.0,0.3157894736842105,0.3157894736842105,human,take
H109,2,0.5555555555555556,0.6666666666666666,0.1111111111111111,human,take
H109,3,-0.6,0.0,0.6,human,take
H109,4,0.5,0.75,0.25,human,take
H109,5,0.0,0.25,0.25,human,take
H109,6,0.0,0.3333333333333333,0.3333333333333333,human,take
H109,7,1.0,1.0,0.0,human,take
H110,1,-0.03448275862068967,0.27586206896551724,0.3103448275862069,human,take
H110,2,0.13793103448275862,0.3103448275862069,0.1724137931034483,human,take
H110,3,-0.03448275862068967,0.20689655172413793,0.2413793103448276,human,take
H110,4,-0.07142857142857142,0.21428571428571427,0.2857142857142857,human,take
H110,5,0.07142857142857142,0.2857142857142857,0.21428571428571427,human,take
H110,6,-0.15384615384615385,0.15384615384615385,0.3076923076923077,human,take
H110,7,0.0,0.25,0.25,human,take
H111,1,0.14285714285714285,0.23809523809523808,0.09523809523809523,human,take
H111,2,0.0,0.3,0.3,human,take
H111,3,0.0,0.0,0.0,human,take
H111,4,-1.0,0.0,1.0,human,take
H111,5,0.0,0.0,0.0,human,take
H113,1,0.1875,0.4375,0.25,human,take
H113,2,-0.18181818181818182,0.18181818181818182,0.36363636363636365,human,take
H113,3,0.2857142857142857,0.5714285714285714,0.2857142857142857,human,take
H113,4,0.3333333333333333,0.3333333333333333,0.0,human,take
H113,5,-1.0,0.0,1.0,human,take
H113,6,0.0,0.5,0.5,human,take
H114,1,0.28125,0.5,0.21875,human,take
H114,2,-0.15625,0.125,0.28125,human,take
H114,3,0.125,0.34375,0.21875,human,take
H114,4,-0.125,0.15625,0.28125,human,take
H114,5,0.2666666666666667,0.43333333333333335,0.16666666666666666,human,take
H114,6,-0.2413793103448276,0.2413793103448276,0.4827586206896552,human,take
H114,7,-0.018518518518518545,0.2962962962962963,0.3148148148148148,human,take
H115,1,0.0967741935483871,0.25806451612903225,0.16129032258064516,human,take
H115,2,-0.07142857142857142,0.21428571428571427,0.2857142857142857,human,take
H115,3,0.037037037037037035,0.2222222222222222,0.18518518518518517,human,take
