subject_id,fixation_position,prop_relevant,group
H101,1,0.6666666666666666,human
H101,2,0.6222222222222222,human
H101,3,0.6136363636363636,human
H101,4,0.525,human
H101,5,0.5675675675675675,human
H101,6,0.4722222222222222,human
H101,7,0.3939393939393939,human
H103,1,0.5094339622641509,human
H103,2,0.5384615384615384,human
H103,3,0.5714285714285714,human
H103,4,0.5319148936170213,human
H103,5,0.391304347826087,human
H103,6,0.45454545454545453,human
H103,7,0.5348837209302325,human
H104,1,0.5454545454545454,human
H104,2,0.8571428571428571,human
H104,3,0.36363636363636365,human
H104,4,0.5,human
H104,5,0.0,human
H104,6,0.3333333333333333,human
H104,7,0.0,human
H105,1,0.34,human
H105,2,0.5277777777777778,human
H105,3,0.36363636363636365,human
H105,4,0.6363636363636364,human
H105,5,0.5,human
H105,6,1.0,human
H106,1,0.6904761904761905,human
H106,2,0.59375,human
H106,3,0.4782608695652174,human
H106,4,0.47058823529411764,human
H106,5,0.45454545454545453,human
H106,6,0.375,human
H106,7,0.42857142857142855,human
H108,1,0.5714285714285714,human
H108,2,0.7407407407407407,human
H108,3,0.5686274509803921,human
H108,4,0.6041666666666666,human
H108,5,0.5,human
H108,6,0.7380952380952381,human
H108,7,0.4605263157894737,human
H109,1,0.5263157894736842,human
H109,2,0.6842105263157895,human
H109,3,0.5384615384615384,human
H109,4,0.5555555555555556,human
H109,5,0.5,human
H109,6,0.4,human
H109,7,1.0,human
H110,1,0.6170212765957447,human
H110,2,0.5217391304347826,human
H110,3,0.5333333333333333,human
H110,4,0.45454545454545453,human
H110,5,0.5813953488372093,human
H110,6,0.5121951219512195,human
H110,7,0.5394736842105263,human
H111,1,0.36666666666666664,human
H111,2,0.6428571428571429,human
H111,3,0.2,human
H111,4,0.5,human
H111,5,0.0,human
H113,1,0.4878048780487805,human
H113,2,0.38461538461538464,human
H113,3,0.5714285714285714,human
H113,4,0.25,human
H113,5,0.75,human
H113,6,1.0,human
H113,7,0.0,human
H114,1,0.7142857142857143,human
H114,2,0.44642857142857145,human
H114,3,0.6071428571428571,human
H114,4,0.5714285714285714,human
H114,5,0.6666666666666666,human
H114,6,0.75,human
H114,7,0.66,human
H115,1,0.46,human
H115,2,0.5227272727272727,human
H115,3,0.45,human
H115,4,0.6470588235294118,human
H115,5,0.4482758620689655,human
H115,6,0.5,human
H115,7,0.45454545454545453,human
H116,1,0.6607142857142857,human
H116,2,0.5,human
H116,3,0.5454545454545454,human
H116,4,0.509090909090909,human
H116,5,0.4727272727272727,human
H116,6,0.6,human
H116,7,0.5462962962962963,human
H117,1,0.5306122448979592,human
H117,2,0.4418604651162791,human
H117,3,0.48484848484848486,human
H117,4,0.5185185185185185,human
H117,5,0.5714285714285714,human
H117,6,0.4375,human
H117,7,0.38461538461538464,human
H118,1,0.5789473684210527,human
H118,2,0.6333333333333333,human
H118,3,0.6296296296296297,human
H118,4,0.375,human
H118,5,0.4444444444444444,human
H118,6,0.42857142857142855,human
H118,7,0.6153846153846154,human
H119,1,0.47058823529411764,human
H119,2,0.6097560975609756,human
H119,3,0.42424242424242425,human
H119,4,0.5,human
H119,5,0.45,human
H119,6,0.5,human
H119,7,0.5666666666666667,human
H120,1,0.52,human
H120,2,0.5238095238095238,human
H120,3,0.48717948717948717,human
H120,4,0.3870967741935484,human
H120,5,0.7272727272727273,human
H120,6,0.4444444444444444,human
H120,7,0.6071428571428571,human
H122,1,0.5370370370370371,human
H122,2,0.574468085106383,human
H122,3,0.6153846153846154,human
H122,4,0.6071428571428571,human
H122,5,0.45,human
H122,6,0.7058823529411765,human
H122,7,0.7666666666666667,human
H123,1,0.6071428571428571,human
H123,2,0.4642857142857143,human
H123,3,0.5892857142857143,human
H123,4,0.5283018867924528,human
H123,5,0.5192307692307693,human
H123,6,0.6170212765957447,human
H123,7,0.524390243902439,human
H124,1,0.6274509803921569,human
H124,2,0.6511627906976745,human
H124,3,0.5,human
H124,4,0.7058823529411765,human
H124,5,0.3793103448275862,human
H124,6,0.52,human
H124,7,0.5869565217391305,human
H125,1,0.7142857142857143,human
H125,2,0.5769230769230769,human
H125,3,0.6938775510204082,human
H125,4,0.6530612244897959,human
H125,5,0.6666666666666666,human
H125,6,0.4772727272727273,human
H125,7,0.7317073170731707,human
H126,1,0.6111111111111112,human
H126,2,0.6538461538461539,human
H126,3,0.5882352941176471,human
H126,4,0.5555555555555556,human
H126,5,0.6136363636363636,human
H126,6,0.6341463414634146,human
H126,7,0.5512820512820513,human
H127,1,0.55,human
H127,2,0.5714285714285714,human
H127,3,0.5714285714285714,human
H127,4,0.6666666666666666,human
H127,5,0.3333333333333333,human
H127,6,0.5,human
H127,7,0.75,human
H128,1,0.6956521739130435,human
H128,2,0.5,human
H128,3,0.6521739130434783,human
H128,4,0.631578947368421,human
H128,5,0.7058823529411765,human
H128,6,0.36363636363636365,human
H128,7,0.375,human
H129,1,0.5,human
H129,2,0.4090909090909091,human
H129,3,0.6666666666666666,human
H129,4,1.0,human
H129,5,0.0,human
H129,6,1.0,human
H132,1,0.5576923076923077,human
H132,2,0.5434782608695652,human
H132,3,0.5,human
H132,4,0.575,human
H132,5,0.6470588235294118,human
H132,6,0.45454545454545453,human
H132,7,0.5,human
H133,1,0.5660377358490566,human
H133,2,0.673469387755102,human
H133,3,0.5238095238095238,human
H133,4,0.7837837837837838,human
H133,5,0.6666666666666666,human
H133,6,0.6071428571428571,human
H133,7,0.7045454545454546,human
H134,1,0.4909090909090909,human
H134,2,0.5283018867924528,human
H134,3,0.4090909090909091,human
H134,4,0.55,human
H134,5,0.3783783783783784,human
